quantile,value,horizon,scenario_id,n_bootstrapping
0.01,2875.6276611374365,19,D-2024-08-01,0
0.025,3163.052871783623,19,D-2024-08-01,0
0.05,3691.8297124027144,19,D-2024-08-01,0
0.1,4608.978566092914,19,D-2024-08-01,0
0.15,5565.369874371155,19,D-2024-08-01,0
0.2,6695.107457165943,19,D-2024-08-01,0
0.25,7766.958784183226,19,D-2024-08-01,0
0.3,8840.580266340867,19,D-2024-08-01,0
0.35,10255.828973217296,19,D-2024-08-01,0
0.4,11218.285423867601,19,D-2024-08-01,0
0.45,11813.205646229715,19,D-2024-08-01,0
0.5,12620.286478223014,19,D-2024-08-01,0
0.55,13390.165136394155,19,D-2024-08-01,0
0.6,15386.657296468438,19,D-2024-08-01,0
0.65,17904.126206001765,19,D-2024-08-01,0
0.7,23159.95622571178,19,D-2024-08-01,0
0.75,28329.311606269017,19,D-2024-08-01,0
0.8,31885.016145936446,19,D-2024-08-01,0
0.85,32502.750358722027,19,D-2024-08-01,0
0.9,33302.04967184263,19,D-2024-08-01,0
0.95,37019.16013506723,19,D-2024-08-01,0
0.975,44050.248620542356,19,D-2024-08-01,0
0.99,56777.01304351738,19,D-2024-08-01,0
0.01,3105.791707200552,20,D-2024-08-01,0
0.025,3703.3173143716335,20,D-2024-08-01,0
0.05,4424.605955597242,20,D-2024-08-01,0
0.1,6091.544928572686,20,D-2024-08-01,0
0.15,8497.538038421264,20,D-2024-08-01,0
0.2,9854.27412302361,20,D-2024-08-01,0
0.25,10571.928356672573,20,D-2024-08-01,0
0.3,11152.317716959371,20,D-2024-08-01,0
0.35,11770.604083179049,20,D-2024-08-01,0
0.4,12407.056240638496,20,D-2024-08-01,0
0.45,13171.999207685238,20,D-2024-08-01,0
0.5,14322.979134320263,20,D-2024-08-01,0
0.55,15629.293605947732,20,D-2024-08-01,0
0.6,17407.74674667046,20,D-2024-08-01,0
0.65,20630.816224989096,20,D-2024-08-01,0
0.7,23995.053058545196,20,D-2024-08-01,0
0.75,30725.05867112456,20,D-2024-08-01,0
0.8,31422.771321938344,20,D-2024-08-01,0
0.85,31969.451695235886,20,D-2024-08-01,0
0.9,34260.15783354663,20,D-2024-08-01,0
0.95,43360.004421903745,20,D-2024-08-01,0
0.975,52627.69205208625,20,D-2024-08-01,0
0.99,57401.55919636444,20,D-2024-08-01,0
0.01,2787.1804105003257,21,D-2024-08-01,0
0.025,3467.339936904598,21,D-2024-08-01,0
0.05,4472.192971505772,21,D-2024-08-01,0
0.1,6510.362989833055,21,D-2024-08-01,0
0.15,8324.819310229472,21,D-2024-08-01,0
0.2,8961.350709410066,21,D-2024-08-01,0
0.25,9556.799426887756,21,D-2024-08-01,0
0.3,10112.081389304805,21,D-2024-08-01,0
0.35,11577.719633491557,21,D-2024-08-01,0
0.4,12979.286914146187,21,D-2024-08-01,0
0.45,14622.712578321512,21,D-2024-08-01,0
0.5,15743.53703910632,21,D-2024-08-01,0
0.55,16780.75793011034,21,D-2024-08-01,0
0.6,18642.353573092147,21,D-2024-08-01,0
0.65,20811.901366849823,21,D-2024-08-01,0
0.7,24204.47463091807,21,D-2024-08-01,0
0.75,28019.189308580142,21,D-2024-08-01,0
0.8,28511.52957000107,21,D-2024-08-01,0
0.85,29069.725086583196,21,D-2024-08-01,0
0.9,33910.412746133086,21,D-2024-08-01,0
0.95,47726.567463272164,21,D-2024-08-01,0
0.975,54992.90551845685,21,D-2024-08-01,0
0.99,59446.72357942898,21,D-2024-08-01,0
0.01,2495.896,22,D-2024-08-01,0
0.025,3142.427154611455,22,D-2024-08-01,0
0.05,4255.572879369478,22,D-2024-08-01,0
0.1,6900.134754686873,22,D-2024-08-01,0
0.15,7619.242205279879,22,D-2024-08-01,0
0.2,8004.971745734702,22,D-2024-08-01,0
0.25,8506.282135962894,22,D-2024-08-01,0
0.3,9803.235595518441,22,D-2024-08-01,0
0.35,11565.267955750776,22,D-2024-08-01,0
0.4,12646.006194410069,22,D-2024-08-01,0
0.45,13818.356810009804,22,D-2024-08-01,0
0.5,14855.407072269403,22,D-2024-08-01,0
0.55,16517.634266593082,22,D-2024-08-01,0
0.6,18445.436746420077,22,D-2024-08-01,0
0.65,20383.309311569414,22,D-2024-08-01,0
0.7,22884.880009198554,22,D-2024-08-01,0
0.75,23845.098812939046,22,D-2024-08-01,0
0.8,24277.89523652135,22,D-2024-08-01,0
0.85,24619.07999092594,22,D-2024-08-01,0
0.9,33253.06951290248,22,D-2024-08-01,0
0.95,46869.29524465885,22,D-2024-08-01,0
0.975,50135.11728674845,22,D-2024-08-01,0
0.99,54064.75818008387,22,D-2024-08-01,0
0.01,2148.4718479036446,23,D-2024-08-01,0
0.025,2964.8096946400346,23,D-2024-08-01,0
0.05,4212.031069091981,23,D-2024-08-01,0
0.1,6662.2688503726185,23,D-2024-08-01,0
0.15,7308.283316668004,23,D-2024-08-01,0
0.2,7636.479423093541,23,D-2024-08-01,0
0.25,8033.339328631058,23,D-2024-08-01,0
0.3,9111.52495737189,23,D-2024-08-01,0
0.35,10149.378326887661,23,D-2024-08-01,0
0.4,11254.252124851997,23,D-2024-08-01,0
0.45,12491.855254078851,23,D-2024-08-01,0
0.5,13998.467234582096,23,D-2024-08-01,0
0.55,16474.18298324392,23,D-2024-08-01,0
0.6,18688.86184562857,23,D-2024-08-01,0
0.65,19251.413632913656,23,D-2024-08-01,0
0.7,19579.481302065116,23,D-2024-08-01,0
0.75,19846.770616366757,23,D-2024-08-01,0
0.8,20761.767924369553,23,D-2024-08-01,0
0.85,22643.88102508095,23,D-2024-08-01,0
0.9,32662.381685080407,23,D-2024-08-01,0
0.95,41416.90369874717,23,D-2024-08-01,0
0.975,43617.99868898315,23,D-2024-08-01,0
0.99,45874.68630185798,23,D-2024-08-01,0
0.01,2052.5846610271624,24,D-2024-08-01,0
0.025,3170.230937518096,24,D-2024-08-01,0
